name,icon_url,website_url,description
Uniswap,https://raw.githubusercontent.com/trustwallet/assets/master/blockchains/ethereum/assets/0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984/logo.png,https://uniswap.org,Decentralized exchange protocol for automated token trading
Aave,https://avatars.githubusercontent.com/u/25552648,https://aave.com,Open source and non-custodial liquidity protocol
Compound,https://raw.githubusercontent.com/trustwallet/assets/master/blockchains/ethereum/assets/0xc00e94Cb662C3520282E6f5717214004A7f26888/logo.png,https://compound.finance,Decentralized lending and borrowing protocol
MakerDAO,https://raw.githubusercontent.com/trustwallet/assets/master/blockchains/ethereum/assets/0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2/logo.png,https://makerdao.com,Decentralized autonomous organization that governs the Maker protocol
SushiSwap,https://avatars.githubusercontent.com/u/69474070,https://sushi.com,Community-driven decentralized exchange
Balancer,https://raw.githubusercontent.com/trustwallet/assets/master/blockchains/ethereum/assets/0xba100000625a3754423978a60c9317c58a424e3D/logo.png,https://balancer.fi,Automated portfolio manager and liquidity provider
1inch,https://avatars.githubusercontent.com/u/62861014,https://1inch.io,DEX aggregator that finds the best trading routes across multiple DEXes
1inch v6,https://avatars.githubusercontent.com/u/62861014,https://1inch.io,1inch v6 aggregator for optimal token swapping routes
1inch v6 aggregator,https://avatars.githubusercontent.com/u/62861014,https://1inch.io,1inch version 6 DEX aggregator protocol
Curve,https://avatars.githubusercontent.com/u/55471097,https://curve.fi,Decentralized exchange optimized for stablecoin trading
Yearn Finance,https://avatars.githubusercontent.com/u/69354105,https://yearn.finance,Yield farming optimizer that automatically moves funds between protocols
Synthetix,https://avatars.githubusercontent.com/u/39334301,https://synthetix.io,Derivatives liquidity protocol on Ethereum 
